Question ID,Question Text,Answer ID,Answer Text,Is Reference
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV_25-a1,The mangrove tree would probably die or the tree would not grow well because the tree needs a saltwater environment. Water without salt is outside of the tree's range of tolerance for salt.,True
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.101.1,It would die because it optimum condition is salt.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.102.1,It would die and not survive because it needs salt because they are only found in saltwater environments. If you want it to live add salt.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.105.1,It might die from no salt.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.107.1,It might die because it needs salt to survive.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.109.1,It would probably die because it needs salty water to survive. That is just like putting human in space with no space suit.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.110.1,It would die. It only grows in saltwater environments.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.113.1,It will die. Because the tree cannot survive without salt it will die because of its range of tolerance.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.114.1,It would die because that certain plant needs salt to live.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.121.1,It would die because it has no salt.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.122.1,It would probably not survive because it is not used to the freshwater system.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.124.1,If a tree likes saltwater environment it should take some time to get used to freshwater environment.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.130.1,It would begin to die because it has to be in saltwater.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.133.1,I think it would die because it is not in its preferred environment.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.136.1,The mangrove tree will die because you moved the tree in different water instead of saltwater.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.137.1,It will die because the mangrove tree is use to the saltwater and if you move it it will not survive.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.141.1,It would most likely die because it is so used to saltwater it would die.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.143.1,It would die because its used to salt. Not freshwater. If it has no salt it will not live.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.145.1,It would die because it is only found in saltwater so if you move it it will shrivel up!,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.147.1,It would not grow. It has a big range of tolerance for salt. But without salt it would die.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.148.1,It would die because it needs salt to live.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.149.1,"It would die, because the tree is use to salt, salt is the range of the tree.",False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.152.1,The mangrove would die because it needs saltwater not freshwater.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.153.1,If you moved it the mangrove tree to a freshwater environment it will die because it cannot take it it needs the salt.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.157.1,It would die in the freshwater environment because it is used to saltwater environment.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.158.1,It would die because it is found only in saltwater.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.159.1,It would shrivel up.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.165.1,It would die and shrivel up.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.208.1,It might die because it needs to live in saltwater environments.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.221.1,It would probably die because you moved it to a place and took the roots out.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.224.1,It would probably die because it need salinity to live without salinity it will not live.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.226.1,It would not grow that well because it has been moved from it is saltwater environment to freshwater environment.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.243.1,It would probably die because it is not in the range of tolerance.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.244.1,The mangrove would die in the freshwater because it is adapted to the saltwater.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.245.1,"The mangrove tree would grow less and also maybe die, because it is saltwater plant, not freshwater.",False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.246.1,It would die because it is environment is saltwater only because it can only survive in saltwater.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.247.1,The mangrove would die because they only in salt or might change it is growth.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.248.1,The mangrove would not grow because it needs the salt from the water.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.251.1,It would change the mangrove environment and maybe kill it.,False
seb2custom:EV_25,The mangrove is a tree found only in saltwater environments. What would happen if you moved a mangrove tree to a freshwater environment? Explain your answer.,EV.25.382.1,Maybe it would grow slower because of the type of water it was moved to. Or maybe the tree would just die.,False
